Season,twaDeltaB,twaPrice,l2sr,podRate
4,5471.605505,29.432774,29.970194,0.0
5,10140.034492,8.123545,6.092708,0.0
6,24314.502088,4.218231,3.053527,0.0
7,24520.484453,1.978835,1.264561,0.0
8,24437.453611,1.520284,0.947102,0.0
9,19319.065383,1.273418,0.768431,0.0
10,26461.946689,1.280739,0.823427,0.0
11,23110.912987,1.191438,0.742822,0.0
12,16739.051502,1.138046,0.685488,0.0
13,11064.325044,1.067189,0.651636,0.0
14,13524.90338,1.082997,0.674576,0.0
15,21052.139413,1.104561,0.709774,0.0
16,42618.968681,1.196199,0.770253,0.0
17,36592.335314,1.149664,0.69415,0.0
18,33054.105381,1.1261,0.697242,0.0
19,29616.059126,1.094994,0.701157,0.0
20,26615.448305,1.079792,0.691426,0.0
21,38165.601195,1.097698,0.734236,0.0
22,39924.522987,1.088884,0.745299,0.0
23,44392.148853,1.094452,0.7488,0.0
24,58189.085449,1.107692,0.76894,0.0
25,45405.908972,1.074234,0.726807,0.0
26,71089.421872,1.111959,0.754872,0.0
27,50760.060158,1.072446,0.701852,0.0
28,58755.495728,1.076899,0.72854,0.0
29,30722.555223,1.040759,0.684715,0.0
30,18670.971351,1.022426,0.681616,0.0
31,25618.558628,1.027867,0.691317,0.0
32,17621.631703,1.019809,0.682195,0.0
33,26133.240182,1.027101,0.691076,0.0
34,25806.707253,1.026466,0.689205,0.0
35,26390.503908,1.023295,0.686253,0.0
36,8219.579761,1.010424,0.665112,0.0
37,9159.307892,1.008642,0.66563,0.0
38,12121.69658,1.013462,0.667479,0.0
39,14520.822629,1.01326,0.673691,0.0
40,14220.367748,1.013426,0.68272,0.0
41,28181.197812,1.024668,0.70736,0.0
42,43514.174047,1.036036,0.734153,0.0
43,23796.612803,1.018805,0.721905,0.0
44,36409.504937,1.027027,0.731193,0.0
45,23021.090671,1.016619,0.718413,0.0
46,36931.008268,1.026993,0.730224,0.0
47,35013.696421,1.02398,0.732747,0.0
48,40280.522383,1.027834,0.736575,0.0
49,69332.40742,1.042353,0.753289,0.0
50,37364.132916,1.023704,0.728301,0.0
51,49515.774754,1.028711,0.732318,0.0
52,36305.160543,1.022526,0.719496,0.0
53,47660.025358,1.028217,0.730884,0.0
54,33480.279873,1.018671,0.720206,0.0
55,20564.173608,1.012551,0.710008,0.0
56,-2441.766253,0.997976,0.69307,0.0
57,1713.010898,1.000027,0.702503,0.07109716453121423
58,6417.273651,1.002536,0.705793,0.08303171456555367
59,-2452.88962,0.997122,0.699641,0.0
60,1868.643599,0.997838,0.704894,0.07300984922400763
61,3576.417304,1.001946,0.70779,0.04810917160975533
62,7395.213971,1.003512,0.709541,0.0
63,-187.266412,0.996695,0.70164,0.0
64,-174.577674,0.997021,0.700192,0.000725865448771992
65,2942.957479,0.999697,0.702133,0.005928634190149508
66,11387.061576,1.005732,0.707059,0.008886306100416397
67,4799.302263,1.001312,0.70636,0.0
68,4.52791,0.999317,0.703322,0.0
69,5856.376198,1.003253,0.707737,0.0
70,3659.569695,1.00164,0.708786,0.0
71,17533.526135,1.009081,0.718628,0.0
72,2706.391975,1.00149,0.710422,0.0
73,19682.034994,1.007187,0.717609,0.0
74,14195.429961,1.006143,0.716559,0.0
75,19620.492681,1.010405,0.720713,0.0
76,17855.417917,1.008503,0.72083,0.0
77,13832.035815,1.006041,0.719921,0.0
78,21804.859841,1.010534,0.725051,0.0
79,10100.235149,1.004165,0.719274,0.0
80,8120.757603,1.005191,0.725872,0.0
81,9780.647768,1.004281,0.735638,0.0
82,26475.492912,1.01325,0.746421,0.0
83,19916.73496,1.009329,0.742872,0.0
84,15028.130582,1.005985,0.738387,0.0
85,13500.343514,1.005157,0.7367,0.0
86,8351.374984,1.002981,0.736162,0.0
87,11667.387692,1.004408,0.73925,0.0
88,12314.673975,1.005021,0.741265,0.0
89,10139.211045,1.004225,0.74099,0.0
90,16274.811665,1.00555,0.745118,0.0
91,14443.485183,1.005922,0.746427,0.0
92,5199.367839,1.001603,0.753863,0.0
93,7842.274807,1.001872,0.756305,0.0
94,9490.139842,1.00258,0.760484,0.0
95,27507.977394,1.010256,0.780217,0.0
96,5113.635651,1.000989,0.768391,0.0
97,3195.688348,0.999847,0.766215,0.0
98,6122.230669,1.003109,0.766669,0.0
99,2230.283834,1.00125,0.7654,0.0
100,7988.236405,1.003986,0.768214,0.0
101,-250.659222,0.999713,0.764881,0.0
102,-3444.287548,0.999399,0.766558,0.005753251016224125
103,-2320.547327,0.999508,0.767213,0.08580420243395599
104,368.699979,1.000568,0.76873,0.1399003340391419
105,4526.865442,1.002795,0.772839,0.14193134037718458
106,917.570164,0.9998,0.771578,0.05144142859987888
107,-2887.162334,0.997301,0.769828,0.0
108,-3378.554388,0.997131,0.76959,0.0015098866301001663
109,-17060.666385,0.990856,0.764525,0.03156106350639046
110,-10678.446167,0.993804,0.759221,0.03943757476806789
111,-8969.268315,0.994658,0.760212,0.16444985459262593
112,-10524.253817,0.993666,0.760222,0.3576105847067907
113,-4466.275045,0.997252,0.761665,0.509787426307944
114,-1240.181822,0.998883,0.762764,0.6228321098323616
115,5180.717141,1.001021,0.765527,0.6523702125135366
116,10270.798593,1.003872,0.768742,0.6807817776201809
117,-1400.72837,0.9987,0.765116,0.6349534137634261
118,10271.24223,1.004089,0.772032,0.667932696042653
119,8196.289792,1.00386,0.774844,0.7239811427399719
120,6791.500187,1.003623,0.773083,0.6664404942701154
121,8493.127706,1.002928,0.774062,0.5720925128839777
122,-322.824425,0.999181,0.7709,0.43496885440652805
123,-7929.17393,0.994527,0.767103,0.4425262377345207
124,-817.675424,0.998637,0.771289,0.6321224194901306
125,8676.558091,1.002186,0.774564,0.6507937336757647
126,8070.000625,1.003744,0.785029,0.6976423802109434
127,4114.343582,1.001874,0.785018,0.6116097107331198
128,2203.101365,1.000862,0.784009,0.5327234372026293
129,976.199329,1.000205,0.782366,0.40878949799949615
130,3784.108662,1.001502,0.78289,0.2978765396125814
131,25120.591557,1.007228,0.787904,0.15675896952744445
132,3955.221951,1.00105,0.773386,0.0003793788586334633
133,745.100142,0.999294,0.771006,0.0
134,-1947.178654,0.997562,0.769611,0.0
135,-8422.350202,0.993907,0.767069,0.03048430467960776
136,-9484.944609,0.994345,0.767412,0.17927061328193575
137,-9548.252967,0.99338,0.767483,0.3989742136399962
138,3203.843804,1.001324,0.776173,0.6235408996668306
139,2522.995634,0.999695,0.77622,0.6404462662988928
140,3387.023509,1.000745,0.778123,0.5298349871955215
141,1819.466233,0.999907,0.776332,0.4023496548156953
142,2148.25715,1.000885,0.77617,0.3113197907586527
143,-3740.589771,0.997535,0.772428,0.22225887874559816
144,346.841507,0.997826,0.773989,0.28640798018821595
145,12881.102058,1.00431,0.781029,0.2882310703087141
146,6524.300167,1.002656,0.777989,0.2513324841384291
147,5634.646655,1.002839,0.776961,0.18509858297386073
148,6110.231913,1.001882,0.77707,0.11426737223854785
149,-941.77078,0.999468,0.772958,0.021328506599611004
150,2511.277382,1.000602,0.775989,0.04176999971977994
151,3469.277897,1.001057,0.77853,0.05484632227909071
152,1766.126285,1.000794,0.778762,0.0
153,-5692.238703,0.996333,0.775585,0.0
154,-20945.99087,0.988009,0.769617,0.12575878737686508
155,3590.527203,0.997378,0.780778,0.5675427959261052
156,-349.142568,0.994808,0.777611,0.5296035701791666
157,-18488.193714,0.987203,0.769804,0.5375384005232926
158,-10618.761438,0.996862,0.773809,0.8047685431809217
159,-4255.99218,0.999033,0.776233,1.0524897877762827
160,829.188216,1.00016,0.779142,1.1530178202045172
161,10167.761581,1.002447,0.783614,1.1573063762051619
162,6479.490637,1.00243,0.783663,1.1086138036847868
163,-3094.695834,0.998169,0.780365,1.0319853796274177
164,-7456.027987,0.995405,0.777101,1.1027450622255892
165,-3506.421855,0.99807,0.775817,1.142726984877744
166,-10.240965,1.000157,0.778919,1.2244436401075247
167,3060.056468,1.000778,0.780665,1.2246864714827943
168,10841.150939,1.003652,0.784178,1.2404582734052279
169,2938.840575,1.000093,0.779439,1.1930893901347623
170,12459.94373,1.003161,0.781268,1.1058427353491136
171,13388.864965,1.004771,0.786818,1.060101895168975
172,10603.882857,1.003542,0.784095,0.8853375472235787
173,13849.51013,1.004085,0.783193,0.6835517929929394
174,24226.269987,1.007668,0.786032,0.6509031731625511
175,20846.285791,1.00458,0.785328,0.6590111793862425
176,27138.297066,1.008204,0.785766,0.655831427417362
177,19687.8506,1.004867,0.782946,0.6847736666283148
178,16535.37361,1.00312,0.783515,0.6755575195001191
179,39429.522398,1.007791,0.786355,0.6533428301175914
180,30909.260501,1.010188,0.775022,0.2205045266133701
181,6143.156639,1.001201,0.768925,0.1393514944622524
182,8636.9039,1.000913,0.772837,0.05880411117020801
183,22831.015656,1.007277,0.779424,0.0
184,12046.493153,1.003307,0.774446,0.0
185,18177.784625,1.00462,0.781116,0.0
186,31769.527501,1.000647,0.792894,0.0
187,15908.523883,1.00445,0.784403,0.0
188,15624.879256,1.004483,0.783769,0.0
189,15367.953113,1.003863,0.785968,0.0
190,15134.399245,1.004846,0.786673,0.0
191,7486.199224,1.001583,0.784033,0.0
192,13436.34261,1.004262,0.787328,0.0
193,11990.293809,1.003262,0.790387,0.0
194,13211.836033,1.002601,0.792825,0.0
195,7199.963735,1.00092,0.789006,0.0
196,16230.85699,1.003429,0.785873,0.0
197,2024.230758,0.999298,0.780369,0.0
198,15674.713792,1.004877,0.78736,0.0
199,3895.978365,1.001232,0.784274,0.0
200,278.358211,0.999652,0.784369,0.0
201,3799.676344,1.00093,0.786215,0.0
202,11381.004115,1.003213,0.788653,0.0
203,4849.262768,1.001262,0.7853,0.0
204,-70.608396,0.999056,0.783258,0.0
205,14968.150896,1.003808,0.787605,0.0012182457055207505
206,32711.606643,1.008011,0.790932,0.0018227405039096033
207,425.052198,0.999566,0.776772,0.0
208,8762.357218,1.001213,0.780194,0.0
209,5174.950977,1.000756,0.777992,0.0
210,27108.320383,1.006807,0.784158,0.0
211,19092.011489,1.006295,0.779455,0.0
212,26295.2904,1.007178,0.781373,0.0
213,17674.287156,1.003665,0.778258,0.0
214,8997.603802,1.001477,0.776028,0.0
215,9925.071341,1.002069,0.776641,0.0
216,19806.09049,1.004343,0.779278,0.0
217,17265.270007,1.004299,0.775262,0.0
218,28943.645119,1.005801,0.776457,0.0
219,28816.109755,1.006779,0.769346,0.0
220,67036.097516,1.017161,0.782011,0.0
221,56863.569065,1.013142,0.780756,0.0
222,42525.303453,1.008444,0.785875,0.0
223,36709.617195,1.007667,0.781852,0.0
224,34124.971248,1.007736,0.780313,0.0
225,52786.208523,1.011431,0.78531,0.0
226,38785.701307,1.008373,0.778672,0.0
227,59813.503195,1.009911,0.779407,0.0
228,33545.032677,1.006801,0.769718,0.0
229,21266.732888,1.004581,0.764873,0.0
230,16488.254368,1.002549,0.761355,0.0
231,11536.261533,1.001731,0.759718,0.0
232,14376.840032,1.002141,0.761129,0.0
233,51585.435281,1.010472,0.770383,0.0
234,12463.176723,1.001975,0.758502,0.0
235,41920.300644,1.007896,0.768213,0.0
236,27050.135457,1.005528,0.764632,0.0
237,161378.009977,1.033163,0.799138,0.0
238,162318.155126,1.029275,0.801219,0.0
239,85872.250444,1.014537,0.775996,0.0
240,99179.691096,1.016015,0.777939,0.0
241,67923.20822,1.011126,0.769058,0.0
242,39059.052924,1.005986,0.761063,0.0
243,158735.947918,1.024897,0.779644,0.0
244,64701.075476,1.009964,0.760246,0.0
245,165207.415921,1.024649,0.76916,0.0
246,118137.287093,1.016728,0.756013,0.0
247,186285.443976,1.026519,0.756954,0.0
248,251716.947597,1.034139,0.757992,0.0
249,248542.603894,1.031975,0.774232,0.0
250,213589.670485,1.02744,0.765452,0.0
251,200195.884587,1.021116,0.759032,0.0
252,299993.582281,1.033644,0.766255,0.0
253,68510.503382,1.005534,0.727382,0.0
254,56308.047289,1.005909,0.729658,0.0
255,186176.241409,1.01952,0.737569,0.0
256,156224.3304,1.01626,0.730462,0.0
257,358385.786812,1.035492,0.769165,0.0
258,197944.969516,1.019235,0.755236,0.0
259,269651.773171,1.026892,0.768737,0.0
260,173078.258088,1.01611,0.772648,0.0
261,70899.714978,1.006136,0.787313,0.0
262,42036.741457,1.003105,0.771426,0.0
263,50475.415169,1.003683,0.77385,0.0
264,12912.077437,1.000567,0.771073,0.0
265,20438.142331,1.001604,0.777246,0.0
266,21560.684183,1.001977,0.780185,0.0
267,41453.311763,1.003516,0.783169,0.0
268,23814.099181,1.001741,0.783352,0.0
269,24667.254738,1.002108,0.788746,0.0
270,10811.717101,1.000792,0.788494,0.0
271,3127.035757,1.000245,0.792072,0.0
272,-10501.244142,0.99939,0.789551,0.0
273,-12927.570689,0.999302,0.788765,0.05885128972049254
274,-181172.557383,0.986311,0.767677,0.08867696295169868
275,-105132.299381,0.990701,0.76303,1.1253321131182636
276,-11244.142287,0.998769,0.772079,1.3666559250761257
277,22919.265029,1.002628,0.776159,1.406218699795393
278,20548.685,1.002492,0.778928,1.4369268176324788
279,-286406.666855,0.976921,0.761544,1.3631253136693708
280,-289258.292008,0.974141,0.764997,3.0609881752398604
281,-92604.471476,0.991556,0.772107,3.2615142836531894
282,-199598.714192,0.981892,0.767487,3.8325504916649433
283,-208089.908073,0.981027,0.764627,4.00899243363728
284,-118868.359456,0.989095,0.768201,4.504069101844084
285,-71735.64777,0.992892,0.772761,5.138771328430512
286,-57009.966975,0.994242,0.774986,5.557874738846751
287,26724.018786,1.002204,0.793656,5.943955055038323
288,26105.965343,1.002121,0.798963,5.938727987752105
289,54657.542182,1.004351,0.805799,5.933684881810294
290,113276.844273,1.009826,0.813911,5.760821914168153
291,91522.257087,1.008061,0.816529,5.734187624076041
292,91785.860459,1.008035,0.820163,5.717856264540567
293,38471.037816,1.003399,0.815392,5.451312515281429
294,-46611.289987,0.996029,0.806753,5.345509439370973
295,-82311.002466,0.993208,0.802941,5.345509126285474
296,-125551.619214,0.988856,0.794341,5.4114852335306844
297,-44670.645808,0.995952,0.800769,5.435394511658315
298,-48529.667306,0.995113,0.800833,5.4873049193938055
